City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,freeport,40.6576,-73.5832,21.1,81,0,3.6,US,1696218721
146,port augusta,-32.5,137.7667,36.7,14,19,9.78,AU,1696218453
147,taitung city,22.7583,121.1444,32.15,66,40,6.17,TW,1696218721
148,afaahiti,-17.75,-149.2833,26.93,87,13,6.85,PF,1696218721
149,kapuskasing,49.4169,-82.4331,17.05,88,100,3.09,CA,1696218601
150,saint-joseph,-21.3667,55.6167,24.71,68,0,0.22,RE,1696218721
151,jinghong,21.991,100.7341,28.97,65,57,1.64,CN,1696218721
152,san patricio,28.017,-97.5169,27.91,80,4,4.78,US,1696218722
153,bardai,11.65,7.2333,20.75,92,94,3.19,NG,1696218722
154,seminole,28.7086,-81.2081,25.61,90,75,3.6,US,1696218722
155,port alfred,-33.5906,26.891,12.32,87,2,1.79,ZA,1696218722
156,choibalsan,48.0667,114.5,16.02,27,100,4.44,MN,1696218722
157,lazaro cardenas,17.9583,-102.2,27.67,87,81,1.11,MX,1696218723
158,sao jose da coroa grande,-8.8978,-35.1478,22.68,79,3,1.33,BR,1696218723
159,tyumen,57.1522,65.5272,9.08,100,100,7.15,RU,1696218723
160,cabo san lucas,22.8909,-109.9124,30.61,73,0,6.69,MX,1696218308
161,eydhafushi,5.1033,73.0708,27.56,76,100,4.88,MV,1696218723
162,saipan,15.1355,145.701,30.39,84,40,6.69,MP,1696218724
163,mbanza-ngungu,-5.25,14.8667,21.39,87,95,1.32,CD,1696218724
164,tucuma,-0.1833,-50.05,26.21,82,27,3.34,BR,1696218724
165,nagqu,31.5,92.0,7.15,73,100,4.13,CN,1696218724
166,pesqueira,-8.3578,-36.6964,17.11,96,6,1.69,BR,1696218724
167,ulsan,35.5372,129.3167,22.99,33,76,2.36,KR,1696218724
168,hami,42.8,93.45,20.72,29,0,3.37,CN,1696218725
169,labytnangi,66.6572,66.4183,7.81,97,100,4.97,RU,1696218725
170,urangan,-25.3,152.9,23.83,55,0,2.72,AU,1696218725
171,ghormach,35.7306,63.7826,20.91,20,0,1.79,AF,1696218725
172,saldanha,-33.0117,17.9442,14.29,58,0,3.28,ZA,1696218725
173,talnakh,69.4865,88.3972,-10.44,94,87,3.93,RU,1696218725
174,muang khong,14.1167,105.85,30.75,72,74,0.37,LA,1696218726
175,necocli,8.4234,-76.786,25.82,90,100,3.89,CO,1696218726
176,huatabampo,26.8333,-109.6333,31.29,70,100,0.68,MX,1696218726
177,kingston,17.997,-76.7936,28.53,85,20,3.6,JM,1696218431
178,cururupu,-1.8283,-44.8683,25.57,83,8,2.67,BR,1696218726
179,omutninsk,58.67,52.1932,10.88,93,100,3.33,RU,1696218726
180,bahir dar,11.5936,37.3908,15.58,86,12,1.71,ET,1696218727
181,pemangkat,1.1667,108.9667,29.99,64,99,2.77,ID,1696218727
182,montalvo,-1.8,-79.3333,24.79,80,99,0.8,EC,1696218727
183,bam,29.106,58.357,26.58,17,0,0.52,IR,1696218727
184,zouerate,22.7187,-12.4521,28.53,19,63,3.92,MR,1696218727
185,selfoss,63.9331,-20.9971,7.8,75,95,5.1,IS,1696218727
186,mejit,10.2753,170.8646,28.4,77,88,5.5,MH,1696218728
187,xinyuan,37.3,99.0,12.04,27,72,2.68,CN,1696218728
188,niamey,13.5137,2.1098,27.16,83,0,1.54,NE,1696218728
189,ola,59.5833,151.2833,12.86,67,31,0.59,RU,1696218728
190,cockburn town,21.4612,-71.1419,28.63,74,81,7.1,TC,1696218728
191,vila franca do campo,37.7167,-25.4333,20.23,99,79,3.72,PT,1696218728
192,piacabucu,-10.4056,-36.4344,21.56,80,5,2.56,BR,1696218728
193,portland,45.5234,-122.6762,16.99,65,0,2.57,US,1696218218
194,inari,68.906,27.0288,0.11,90,29,0.88,FI,1696218729
195,sao joao da barra,-21.6403,-41.0511,21.03,94,100,5.55,BR,1696218729
196,dalandzadgad,43.5708,104.425,18.13,19,2,9.23,MN,1696218729
197,rostovka,55.3842,71.8891,10.81,66,3,3.61,RU,1696218729
198,luderitz,-26.6481,15.1594,15.17,78,0,2.67,NA,1696218730
199,ribeira grande,38.5167,-28.7,19.32,74,99,1.79,PT,1696218730
200,pastavy,55.1168,26.8326,7.25,97,11,2.76,BY,1696218730
201,kargasok,59.0556,80.8572,7.11,80,100,5.93,RU,1696218730
202,susuman,62.7833,148.1667,1.1,73,16,1.34,RU,1696218730
203,ilhabela,-23.7781,-45.3581,20.59,93,100,2.62,BR,1696218731
204,baidoa,3.1138,43.6498,22.55,84,62,6.28,SO,1696218731
205,alice springs,-23.7,133.8833,36.75,12,18,7.72,AU,1696218602
206,honefoss,60.168,10.2565,13.29,92,93,0.55,NO,1696218731
207,ust'-ilimsk,58.0006,102.6619,-1.42,83,94,4.02,RU,1696218731
208,shingu,33.7333,135.9833,24.38,48,100,1.24,JP,1696218731
209,akjoujt,19.6969,-14.4164,30.37,18,80,4.46,MR,1696218731
210,dukhan,25.4297,50.7858,31.24,47,0,5.31,QA,1696218732
211,pitanga,-24.7572,-51.7614,15.5,95,42,1.01,BR,1696218732
212,val-d'or,48.1002,-77.7828,10.05,81,0,1.03,CA,1696218732
213,saacow,1.6279,42.4407,24.3,79,18,5.43,SO,1696218732
214,tofol,5.3248,163.0078,31.88,70,75,1.54,FM,1696218733
215,diawara,15.022,-12.5437,29.08,66,100,3.58,SN,1696218733
216,san ignacio rio muerto,27.4167,-110.2333,28.04,65,64,2.37,MX,1696218733
217,gorontalo,0.5412,123.0595,33.32,44,67,4.07,ID,1696218733
218,khash,28.2211,61.2158,21.65,18,0,0.6,IR,1696218733
219,fandriana,-20.2333,47.3833,18.87,59,27,1.38,MG,1696218733
220,colonia,50.9333,6.95,17.46,85,0,1.03,DE,1696218734
221,taksimo,56.3444,114.8794,2.62,90,100,3.58,RU,1696218734
222,banska bystrica,48.5,19.5,9.97,71,46,1.07,SK,1696218734
223,lepsy,46.235,78.9456,17.93,40,57,5.12,KZ,1696218734
224,ambodifotatra,-16.9833,49.85,24.03,94,75,2.06,MG,1696218734
225,presidente medici,-11.1753,-61.9014,28.16,56,82,0.83,BR,1696218734
226,hamilton,39.1834,-84.5333,21.11,82,0,0.45,US,1696218682
227,barakani,-12.1356,44.4317,25.01,77,27,2.95,KM,1696218735
228,tolanaro,-25.0319,46.9987,23.04,60,20,3.09,MG,1696218735
229,axim,4.8699,-2.2405,24.53,91,20,2.57,GH,1696218735
230,colac,-38.3333,143.5833,23.43,33,0,5.73,AU,1696218735
231,roma,43.2128,-75.4557,17.75,93,0,0.0,US,1696218563
232,inyati,-19.6756,28.8469,14.74,79,29,7.17,ZW,1696218736
233,porto,41.1496,-8.611,20.11,71,0,3.6,PT,1696218736
234,pailon,-17.65,-62.75,25.5,63,80,2.1,BO,1696218736
235,sesheke,-17.4759,24.2968,22.95,39,7,3.79,ZM,1696218736
236,port lincoln,-34.7333,135.8667,25.4,38,0,5.2,AU,1696218736
237,dori,14.0354,-0.0345,30.12,57,87,2.24,BF,1696218736
238,lai,9.3952,16.2989,22.67,95,92,0.94,TD,1696218737
239,parscov,45.2833,26.55,13.02,71,87,2.34,RO,1696218737
240,sumenep,-7.0167,113.8667,30.7,52,97,5.35,ID,1696218737
241,haiku-pauwela,20.9219,-156.3051,28.01,67,40,9.77,US,1696218737
242,ad dabbah,18.05,30.95,31.57,19,49,1.53,SD,1696218738
243,santa cruz,-17.8,-63.1667,24.7,61,98,2.06,BO,1696218607
244,howrah,22.5892,88.3103,27.0,94,75,2.57,IN,1696218715
245,roja,57.5,22.8167,10.88,91,12,4.09,LV,1696218738
246,namibe,-15.1961,12.1522,17.26,86,18,1.6,AO,1696218738
247,ipueiras,-7.0333,-40.45,22.06,40,3,2.43,BR,1696218738
248,korla,41.7597,86.1469,21.12,25,0,4.58,CN,1696218738
249,antofagasta,-23.65,-70.4,15.6,85,38,2.73,CL,1696218739
250,chayan,43.0297,69.3772,17.66,32,2,1.81,KZ,1696218739
251,punta del este,-34.9667,-54.95,9.37,86,20,1.34,UY,1696218739
252,tenno,39.9,139.9667,21.56,55,92,9.07,JP,1696218739
253,tabou,4.423,-7.3528,24.55,89,76,3.71,CI,1696218739
254,la passe,45.5549,-0.8967,18.32,64,9,3.89,FR,1696218739
255,la maddalena,41.2142,9.4083,13.03,54,1,1.0,IT,1696218740
256,qaqortoq,60.7167,-46.0333,1.93,77,100,1.43,GL,1696218740
257,guerrero negro,27.9769,-114.0611,19.81,80,24,7.02,MX,1696218740
258,lorengau,-2.0226,147.2712,29.81,69,70,2.29,PG,1696218740
259,lautoka,-17.6167,177.4667,26.92,57,40,6.17,FJ,1696218740
260,caister-on-sea,52.6481,1.7265,16.88,92,99,3.03,GB,1696218740
261,codrington,-38.2667,141.9667,24.0,42,0,7.56,AU,1696218740
262,ketchikan,55.3422,-131.6461,11.26,93,100,6.17,US,1696218741
263,flin flon,54.7682,-101.865,4.03,93,100,2.26,CA,1696218741
264,pathein,16.7833,94.7333,25.55,94,100,2.63,MM,1696218741
265,myitkyina,25.3833,97.4,30.11,70,77,0.5,MM,1696218741
266,smithers,54.7804,-127.1743,8.18,93,100,0.0,CA,1696218741
267,yur'yevets,57.3201,43.1041,9.32,89,100,4.2,RU,1696218741
268,sint michiel liber,12.15,-68.9833,29.9,79,20,2.57,CW,1696218742
269,arenapolis,-14.4503,-56.8461,25.35,79,99,0.72,BR,1696218742
270,callao,-12.0667,-77.15,19.84,77,75,6.17,PE,1696218742
271,kilindoni,-7.9139,39.6668,25.06,76,30,3.71,TZ,1696218742
272,usak,38.5,29.4167,13.83,80,36,1.54,TR,1696218742
273,pauini,-7.7136,-66.9764,24.6,90,95,1.1,BR,1696218742
274,colares,38.7992,-9.4469,21.29,80,0,3.58,PT,1696218662
275,linxia chengguanzhen,35.6003,103.2064,12.77,86,100,1.12,CN,1696218743
276,fale old settlement,-9.3852,-171.2468,27.37,80,23,5.7,TK,1696218743
277,enewetak,11.3474,162.3373,28.92,75,94,4.32,MH,1696218743
278,dwarka,22.2394,68.9678,28.18,61,69,3.1,IN,1696218743
279,tallulah,32.4085,-91.1868,25.0,53,20,1.54,US,1696218743
280,bikenibeu village,1.3673,173.1241,31.98,66,20,2.06,KI,1696218743
281,ithaca,42.4406,-76.4966,17.3,94,0,0.0,US,1696218744
282,tomatlan,19.9333,-105.25,25.87,96,63,0.76,MX,1696218744
283,remiremont,48.0175,6.5882,9.1,55,95,1.45,FR,1696218744
284,hotan,37.0997,79.9269,20.59,24,7,1.84,CN,1696218744
285,laguna,38.421,-121.4238,20.17,58,0,0.0,US,1696218744
286,caibarien,22.5206,-79.4669,26.62,82,69,4.54,CU,1696218744
287,kirensk,57.7853,108.1119,2.16,62,100,4.96,RU,1696218745
288,novofedorivka,46.1713,32.3178,15.05,68,34,8.14,UA,1696218745
289,luganville,-15.5333,167.1667,25.62,78,99,7.31,VU,1696218745
290,bazarak,35.3129,69.5152,15.99,34,13,1.68,AF,1696218745
291,novyy chirkey,43.162,47.0559,20.35,73,33,2.86,RU,1696218745
292,chibougamau,49.9168,-74.3659,10.68,69,6,1.86,CA,1696218746
293,palmer,42.1584,-72.3287,17.88,83,0,0.0,US,1696218746
294,sao felix do xingu,-6.6447,-51.995,25.64,54,75,0.56,BR,1696218746
295,usogorsk,63.4106,48.6872,10.37,92,100,4.95,RU,1696218746
296,la tuque,47.4334,-72.7824,8.14,93,26,0.51,CA,1696218746
297,fort wellington,6.4,-57.6,27.54,82,95,5.14,GY,1696218746
298,woods creek,47.8787,-121.8985,13.6,82,81,0.45,US,1696218747
299,juneau,58.3019,-134.4197,10.68,100,100,5.14,US,1696218528
300,tual,-5.6667,132.75,26.47,85,64,5.29,ID,1696218747
301,manismata,-2.4667,111.0333,34.18,36,100,2.75,ID,1696218747
302,yuza,39.0,139.9167,23.03,71,42,6.46,JP,1696218747
303,revda,56.801,59.9303,10.35,71,40,5.22,RU,1696218748
304,al bawiti,28.3492,28.8659,22.22,67,88,3.15,EG,1696218748
305,la paz,-16.5,-68.15,10.32,79,75,3.09,BO,1696218748
306,umarkot,25.3616,69.7362,31.92,12,99,2.1,PK,1696218749
307,kapit,2.0167,112.9333,33.6,50,99,0.27,MY,1696218749
308,bandundu,-3.3167,17.3667,23.65,86,16,0.78,CD,1696218749
309,ostersund,63.1792,14.6357,5.25,93,75,4.63,SE,1696218749
310,bamboo flat,11.7,92.7167,26.05,89,100,2.57,IN,1696218749
311,hasaki,35.7333,140.8333,25.22,53,92,7.95,JP,1696218750
312,sao gabriel da cachoeira,-0.1303,-67.0892,24.59,85,86,0.9,BR,1696218750
313,el porvenir,13.7617,-87.3458,26.63,90,77,2.22,HN,1696218750
314,al jawf,29.5,38.75,21.8,63,20,4.49,SA,1696218750
315,lompoc,34.6391,-120.4579,15.56,84,0,3.58,US,1696218750
316,narrabri,-30.3167,149.7833,33.62,25,2,1.79,AU,1696218751
317,acapulco de juarez,16.8634,-99.8901,27.77,86,93,2.1,MX,1696218751
318,kone,-21.0595,164.8658,24.7,53,40,4.59,NC,1696218751
319,charters towers,-20.1,146.2667,30.75,28,41,5.4,AU,1696218751
320,corabia,43.7833,24.5,15.32,50,91,4.09,RO,1696218751
321,sinabang,2.4803,96.3801,27.17,81,100,5.1,ID,1696218751
322,soio,-6.1349,12.3689,23.88,88,94,2.23,AO,1696218752
323,chauk,20.8833,94.8167,26.15,87,98,5.34,MM,1696218752
324,undurkhaan,47.3194,110.6556,14.15,27,100,1.45,MN,1696218752
325,east london,-33.0153,27.9116,13.52,76,0,3.09,ZA,1696218750
326,altay,47.8667,88.1167,12.43,41,22,1.34,CN,1696218752
327,flying fish cove,-10.4217,105.6791,26.82,69,40,7.2,CX,1696218752
328,pierre,44.3683,-100.351,25.48,57,0,4.12,US,1696218583
329,walvis bay,-22.9575,14.5053,11.72,93,100,3.6,NA,1696218753
330,cidreira,-30.1811,-50.2056,12.35,73,0,1.83,BR,1696218590
331,kovernino,57.1253,43.8142,9.01,93,100,2.56,RU,1696218753
332,nova sintra,14.8667,-24.7167,23.49,79,95,4.86,CV,1696218753
333,arraial do cabo,-22.9661,-42.0278,20.99,97,99,2.01,BR,1696218753
334,san pedro pochutla,15.7333,-96.4667,24.93,94,96,3.3,MX,1696218754
335,'ain el melh,34.8415,4.1638,18.23,45,0,1.33,DZ,1696218754
336,yelizovo,53.1873,158.3805,11.08,87,100,7.15,RU,1696218754
337,beau vallon,-20.4189,57.6953,24.56,83,75,5.14,MU,1696218754
338,boende,-0.2167,20.8667,21.95,97,28,0.55,CD,1696218754
339,hede,33.7681,120.2517,22.92,50,98,3.3,CN,1696218754
340,natal,-5.795,-35.2094,23.36,94,0,2.06,BR,1696218755
341,savino,56.5929,41.2181,10.83,93,100,2.23,RU,1696218755
342,nova xavantina,-14.6667,-52.35,29.2,43,83,0.8,BR,1696218755
343,talcahuano,-36.7167,-73.1167,10.82,62,100,3.09,CL,1696218616
344,holualoa,19.6228,-155.9522,26.91,78,75,5.66,US,1696218755
345,palangkaraya,-2.2,113.8333,37.07,24,54,1.85,ID,1696218755
346,lagunas,-5.2269,-75.6753,25.16,74,100,0.34,PE,1696218756
347,queenstown,-31.8976,26.8753,6.47,86,13,0.82,ZA,1696218725
348,island harbour,50.724,-1.2758,17.21,95,100,0.45,GB,1696218756
349,borgarnes,64.5383,-21.9206,9.03,83,97,4.09,IS,1696218756
350,st. john's,47.5649,-52.7093,12.76,90,40,7.72,CA,1696218756
351,praia da vitoria,38.7333,-27.0667,18.75,88,20,3.67,PT,1696218756
352,rongelap,11.1635,166.8941,28.7,77,58,5.89,MH,1696218756
353,nguigmi,14.2495,13.1092,27.51,51,100,4.67,NE,1696218757
354,puerto baquerizo moreno,-0.9,-89.6,22.61,89,98,4.69,EC,1696218747
355,tocopilla,-22.092,-70.1979,17.76,77,12,2.83,CL,1696218714
356,arbatache,36.6377,3.3713,15.18,77,20,0.0,DZ,1696218757
357,robertsport,6.7533,-11.3686,26.13,84,98,3.03,LR,1696218758
358,broken hill,-31.95,141.4333,35.17,13,68,14.01,AU,1696218758
359,kotovo,50.3211,44.8012,12.95,55,100,2.53,RU,1696218554
360,la ronge,55.1001,-105.2842,8.14,76,100,1.54,CA,1696218759
361,springs,-26.25,28.4,11.43,94,0,4.1,ZA,1696218759
362,ugoofaaru,5.6667,73.0,27.48,76,100,5.89,MV,1696218759
363,aleg,17.0481,-13.9209,31.66,17,17,1.72,MR,1696218759
364,pacific grove,36.6177,-121.9166,15.06,87,40,2.06,US,1696218759
