,City,Country,Lat,Lng,Humidity,Hotel Name
324,hithadhoo,MV,-0.6,73.0833,73,Pebbles Inn
325,palmer,US,42.1584,-72.3287,55,No hotel found
326,sorong,ID,-0.8833,131.25,85,Hotel Membramo Marina
327,yorkton,CA,51.2167,-102.4677,88,Ramada Yorkton
328,dean funes,AR,-30.4204,-64.3498,23,Hospedaje Meli
329,kendari,ID,-3.945,122.4989,94,City Hotel Kendari
330,akureyri,IS,65.6835,-18.0878,71,Hótel Norðurland
331,nantucket,US,41.2835,-70.0995,83,No hotel found
332,menongue,AO,-14.6585,17.691,23,No hotel found
333,flying fish cove,CX,-10.4217,105.6791,88,Christmas Island Lodge
334,roma,US,43.2128,-75.4557,71,Wingate by Wyndham Rome
335,krasnogvardeyskoye,RU,45.8456,41.5186,40,No hotel found
336,mil'kovo,RU,55.6078,37.7956,74,Дрозды
337,tres lagoas,BR,-20.7511,-51.6783,38,Hotel Sul
338,puerto aysen,CL,-45.4,-72.7,83,Hostal Dendal
339,aneho,TG,6.2333,1.6,83,Mater Christi
340,kimovsk,RU,53.9716,38.5319,86,No hotel found
341,yesilova,TR,37.5081,29.7547,81,Kural Apart
342,mount isa,AU,-20.7333,139.5,51,Ibis Styles
343,santiago de cao,PE,-7.9589,-79.2392,68,Hostal El Encanto
344,boende,CD,-0.2167,20.8667,82,Hotel Reference
345,cannonvale,AU,-20.2833,148.7,85,Whitsundays Rainforest Retreat
346,saint augustine beach,US,29.8505,-81.2654,94,Castillo Real Resort Hotel
347,paracuru,BR,-3.41,-39.0306,57,Vento Brasil
348,palu,ID,-0.8917,119.8707,95,Ujung Pandang Hotel
349,aykhal,RU,66.0,111.5,98,Уют
350,la sarre,CA,48.8002,-79.1996,47,No hotel found
351,bubaque,GW,11.2833,-15.8333,79,Chez Julio
352,zheleznodorozhnyy,RU,55.7503,38.0042,77,No hotel found
353,n'zeto,AO,-7.2312,12.8666,84,No hotel found
354,nizhnesortymskiy,RU,62.4397,71.7603,88,Нижнесортымский
355,laascaanood,SO,8.4774,47.3597,44,Warsame Hotel mnesta
356,shancheng,CN,34.7953,116.0817,62,如家酒店
357,meknes,MA,33.9776,-5.525,30,Hotel Swani
358,zastron,ZA,-30.3023,27.084,32,No hotel found
359,majholi,IN,23.5,79.9167,76,No hotel found
360,yima,CN,34.7381,111.8839,88,No hotel found
361,afaahiti,PF,-17.75,-149.2833,86,Omati Lodge
362,kone,NC,-21.0595,164.8658,83,Pacifik Appartels
363,maribo,DK,54.7766,11.5002,95,Hotel Søpark
364,frankfurt (oder),DE,52.3471,14.5506,73,Oderblick
365,moundou,TD,8.5667,16.0833,79,فندق جمرا
366,beyneu,KZ,45.3167,55.2,43,Johan yu
367,wad az zaki,SD,14.4619,32.2065,29,No hotel found
369,selfoss,IS,63.9331,-20.9971,67,Miðgarður
370,belle glade,US,26.6845,-80.6676,73,No hotel found
371,piti village,GU,13.4626,144.6933,90,The Cliff Hotel
372,joao pinheiro,BR,-17.7425,-46.1725,29,Lícia
373,callao,PE,-12.0667,-77.15,64,Casa Ronald
374,ghormach,AF,35.7306,63.7826,24,No hotel found
375,zhoukou,CN,33.6333,114.6333,91,No hotel found
376,kulhudhuffushi,MV,6.6221,73.07,78,No hotel found
377,ghat,LY,24.9647,10.1728,30,فندق تاسيلي
378,sittwe,MM,20.15,92.9,91,Yuzana Aung Motel 1
379,usogorsk,RU,63.4106,48.6872,92,Единственная
380,daru,PG,-9.0763,143.2092,89,Kuki
381,korla,CN,41.7597,86.1469,31,Silver Star Hotel
382,keren,ER,15.7778,38.4581,29,Eritrea Hotel قندق إرتريا
383,muromtsevo,RU,56.3724,75.2418,80,Серебряный берег
384,airway heights,US,47.6446,-117.5933,46,Days Inn and Suites Airway Heights
385,christchurch,NZ,-43.5333,172.6333,58,Ibis Hotel Christchurch
386,kuraymah,SD,18.55,31.85,12,Hotel al Nasser
387,urangan,AU,-25.3,152.9,67,Ramada
388,sarangani,PH,5.4033,125.4636,76,No hotel found
389,banda aceh,ID,5.5577,95.3222,84,Hotel 61
390,uchiza,PE,-8.4592,-76.4633,34,No hotel found
391,malango,ID,-2.9627,119.9001,98,Madarana
392,parral,MX,26.9333,-105.6667,25,Hotel Adriana
393,mansa,IN,29.9833,75.3833,25,No hotel found
394,castillos,UY,-34.1667,-53.8333,58,A mi gente
395,sovetskaya gavan',RU,48.9723,140.2878,83,Гостинный Двор
396,marsabit,KE,2.3284,37.9899,44,Chicho Hotel
397,pyt-yakh,RU,60.7499,72.8582,89,Сибирь
398,punta del este,UY,-34.9667,-54.95,77,Hotel Aquarium
399,el calafate,AR,-50.3408,-72.2768,50,Hostería Las Avutardas
400,kruisfontein,ZA,-34.0033,24.7314,75,No hotel found
401,florence,IT,43.7667,11.25,43,Old bridge Apartment
402,andreas,IM,54.3667,-4.4333,82,Brightlife
403,chiang mai,TH,18.75,99.0,94,Wiang Kum Kam Resort
404,albertina,BR,-22.2008,-46.6158,89,Hotel Parque das Primaveras
405,kill devil hills,US,36.0307,-75.676,68,Mariner Days Inn & Suites
406,mungwi,ZM,-10.1732,31.3694,24,No hotel found
407,jeremie,HT,18.65,-74.1167,73,Delivrance Hotel
408,svetlograd,RU,45.3353,42.8547,40,Центральная гостиница Светлограда
409,gabarin,NG,11.1093,10.4441,84,No hotel found
410,warrnambool,AU,-38.3833,142.4833,88,Central Court
411,rikaze,CN,29.25,88.8833,52,Gesar Hotel
412,kamyshevatskaya,RU,46.4132,37.9563,51,No hotel found
413,mount gambier,AU,-37.8333,140.7667,93,The Old Mount Gambier Gaol
414,begamganj,IN,23.6,78.3333,61,No hotel found
415,rio grande,BR,-32.035,-52.0986,67,Hotel Vila Moura Executivo
416,bramhall,GB,53.358,-2.1654,91,Deanwater
417,butte,US,39.6499,-121.5677,61,No hotel found
418,chui,UY,-33.6971,-53.4616,64,Alerces
419,chimbarongo,CL,-34.7,-71.05,68,Hotel Central
420,campbell river,CA,50.0163,-125.2446,67,Comfort Inn & Suites
421,tamanrasset,DZ,22.785,5.5228,22,فندق الأمان
422,nuku'alofa,TO,-21.1333,-175.2,64,City Hotel
423,bonthe,SL,7.5264,-12.505,84,No hotel found
424,san luis de la loma,MX,17.2706,-100.8939,70,No hotel found
425,kimbe,PG,-5.5502,150.1429,92,Kimbe Bay Hotel
426,rawson,AR,-43.3002,-65.1023,30,Hotel Deportivo
427,horodok,UA,49.1637,26.5839,63,Європа
428,labrador city,CA,52.9463,-66.9114,54,Carol Inn
429,vizinga,RU,61.0749,50.1031,94,Надежда
430,namsos,NO,64.4662,11.4957,93,Tinos hotell
431,gangolli,IN,13.65,74.6667,86,Ganesh Hotel (Nanda)
432,bontang,ID,0.1333,117.5,88,Hotel Sederhana
433,colonia menno,PY,-22.3667,-59.8167,29,Hotel Mora
434,togur,RU,58.3631,82.8265,71,Визит
435,lautoka,FJ,-17.6167,177.4667,60,Cathay Hotel
436,murzuq,LY,25.9155,13.9184,31,فندق باريس - مرزق
437,agnita,RO,45.9667,24.6167,50,Agramonia
438,zheleznogorsk-ilimskiy,RU,56.5768,104.1217,91,Магнетит
439,rawatbhata,IN,24.9333,75.5833,39,No hotel found
440,cam ranh,VN,11.9214,109.1591,94,Khách sạn Thái Bình
